Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32,Column33,Column34,Column35,Column36,Column37,Column38,Column39,Column40,Column41,Column42,Column43,Column44,Column45,Column46,Column47,Column48,Column49,Column50,Column51,Column52,Column53,Column54,Column55,Column56,Column57,Column58,Column59,Column60,Column61,Column62,Column63,Column64,Column65,Column66,Column67,Column68,Column69,Column70,Column71,Column72,Column73,Column74,Column75,Column76,Column77,Column78,Column79,Column80,Column81,Column82,Column83,Column84,Column85,Column86,Column87,Column88,Column89,Column90,Column91,Column92,Column93,Column94,Column95,Column96,Column97,Column98,Column99,Column100,Column101,Column102,Column103,Column104
Metabolite Name,54C,29H,6H,37H,56C,154C,68C,10C,9C,78C,52H,62C,88C,34H,56H,132C,66C,13H,31H,11H,74C,1C,130C,10H,114C,9H,35H,112C,21C,142C,45H,118C,41H,170C,52C,122C,108C,40H,64C,72C,98C,148C,116C,96C,166C,17C,140C,60C,49H,36C,20C,100C,33H,8H,81C,14C,164C,152C,28H,23H,44H,134C,7H,158C,168C,3C,146C,54H,57H,94C,12H,34C,42H,136C,46H,172C,55H,120C,14H,35C,24H,48H,20H,156C,16H,48C,30H,17H,27H,50H,144C,110C,21H,15H,160C,45C,19H,70C,39H,150C,92C,58C,47H
Factors,Class:Cancer,Class:Healthy,Class:Healthy,Class:Healthy,Class:Cancer,Class:Cancer,Class:Cancer,Class:Cancer,Class:Cancer,Class:Cancer,Class:Healthy,Class:Cancer,Class:Cancer,Class:Healthy,Class:Healthy,Class:Cancer,Class:Cancer,Class:Healthy,Class:Healthy,Class:Healthy,Class:Cancer,Class:Cancer,Class:Cancer,Class:Healthy,Class:Cancer,Class:Healthy,Class:Healthy,Class:Cancer,Class:Cancer,Class:Cancer,Class:Healthy,Class:Cancer,Class:Healthy,Class:Cancer,Class:Cancer,Class:Cancer,Class:Cancer,Class:Healthy,Class:Cancer,Class:Cancer,Class:Cancer,Class:Cancer,Class:Cancer,Class:Cancer,Class:Cancer,Class:Cancer,Class:Cancer,Class:Cancer,Class:Healthy,Class:Cancer,Class:Cancer,Class:Cancer,Class:Healthy,Class:Healthy,Class:Cancer,Class:Cancer,Class:Cancer,Class:Cancer,Class:Healthy,Class:Healthy,Class:Healthy,Class:Cancer,Class:Healthy,Class:Cancer,Class:Cancer,Class:Cancer,Class:Cancer,Class:Healthy,Class:Healthy,Class:Cancer,Class:Healthy,Class:Cancer,Class:Healthy,Class:Cancer,Class:Healthy,Class:Cancer,Class:Healthy,Class:Cancer,Class:Healthy,Class:Cancer,Class:Healthy,Class:Healthy,Class:Healthy,Class:Cancer,Class:Healthy,Class:Cancer,Class:Healthy,Class:Healthy,Class:Healthy,Class:Healthy,Class:Cancer,Class:Cancer,Class:Healthy,Class:Healthy,Class:Cancer,Class:Cancer,Class:Healthy,Class:Cancer,Class:Healthy,Class:Cancer,Class:Cancer,Class:Cancer,Class:Healthy
451.3402,0,1.805,0,0,1.41,2.247,2.1,1.034,1.282,0,2.893,2.742,0,0.845,4.283,0,2.045,1.313,2.52,0.79,0.346,7.627,2.622,0.549,0,3.625,2.873,3.765,1.286,3.624,6.278,2.443,2.53,3.503,0.733,2.455,0,4.915,0.939,0,0,5.045,6.106,0,1.396,1.95,0,0,0,0,0,0,4.667,0.523,0,3.891,1.482,3.264,3.575,5.348,1.696,3.432,3.895,3.599,1.339,0.953,0,2.298,2.014,0,3.826,1.281,0,1.101,0.613,4.068,3.059,0.821,2.191,0,0.636,2.713,5.707,0,0.668,6.66,2.288,0.337,2.372,3.965,2.84,0,0,2.93,0.283,0,0.947,0,5.785,0,0,1.336,0
561.3789,0.47,0.285,1.885,1.683,1.924,0.322,0.835,2.032,2.556,3.469,2.07,0.709,2.25,1.088,1.509,1.875,1.287,0.569,0.922,1.703,2.171,11.341,2.619,2.521,1.275,1.287,1.704,1.813,0.681,3.717,1.512,0.622,1.05,5.487,0.657,4.398,3.218,3.248,1.291,0.517,1.742,2.232,1.804,1.676,2.424,1.453,0.311,5.756,1.08,6.12,3.314,1.608,0.117,3.614,2.433,1.011,3.368,2,1.83,0.333,0.416,0.664,1.01,6.338,2.424,2.218,0.948,1.344,0.312,1.987,0.029,1.974,1.681,2.075,1.134,0.263,0.472,1.078,0.13,0.422,0.175,1.375,0.156,0.393,0.964,0.118,0.605,0.086,1.182,1.184,0.126,0.246,1.31,0.752,3.851,0.464,0.858,4.044,0.358,0.128,0.07,1.822,12.59
245.1819,0.136,0.04,0.02,1.034,0.015,1.177,0.39,0.02,0.097,3.61,0.041,0.134,3.002,0.036,1.278,0.54,0.264,0.038,0.054,0.246,0.011,0.043,0.532,0.013,0.008,0.064,1.104,10.087,0.17,0.254,0.041,1.056,0.018,0.09,0.444,3.268,0.021,0.043,0.037,0.079,0.037,0.015,2.649,0.012,0.046,0.127,0.352,0.053,0.026,0.403,0.04,0.129,1.702,0.05,0.016,3.69,0.044,0.313,0.11,0.134,0.013,3.021,0.017,0.456,0.067,0.2,0.022,0.01,1.317,0.951,0.026,0.131,1.965,6.417,0,0.189,0.028,0.094,0.019,0.007,3.402,0.352,0.487,0.011,0.068,0.006,0.01,0.115,0.008,0.49,0.019,0.033,0.017,3.952,0,1.463,0.08,0,3.566,0.026,0.716,0.438,0.023
605.4058,13.133,23.112,92.557,10.925,9.253,8.189,6.622,83.406,2.227,2.748,7.32,24.244,2.119,114.262,5.184,12.278,13.522,9.206,3.43,25.039,24.488,108.889,2.389,5.307,1.859,102.233,12.209,1.957,20.194,14.344,12.033,7.944,1.249,3.897,6.507,1.523,6.131,8.262,19.198,1.807,18.831,15.329,10.974,4.226,45.725,9.619,18.555,3.889,11.811,11.335,13.65,8.921,46.296,42.189,8.022,1.939,26.513,12.492,41.351,5.182,1.841,5.467,30.561,7.274,3.488,0.57,18.285,7.679,1.267,5.197,10.492,9.303,0.833,0.32,12.29,10.041,16.049,29.069,63.15,4.104,19.276,1.766,6.274,24.876,135.814,69.098,20.321,6.186,3.811,17.954,29.816,5.533,2.527,19.577,24.45,33.226,5.55,28.659,22.676,37.904,1.774,24.674,13.413
260.0184,3.067,2.95,2.632,2.001,4.142,3.709,2.89,2.822,2.945,2.717,2.58,4.704,3.085,2.486,2.672,4.013,4.298,2.17,0,3.241,3.065,3.318,3.161,2.679,3.111,2.738,2.463,2.806,4.554,3.693,2.051,3.67,1.769,4.674,2.567,2.923,3.233,2.647,2.49,1.645,4.115,2.453,7.185,11.444,4.892,6.3,3.576,4.28,4.72,5.062,7.421,3.014,1.487,2.389,3.33,3.045,3.564,2.076,3.005,3.283,2.679,5.061,3.933,3.375,2.285,14.984,2.694,2.051,2.87,4.066,2.689,2.535,2.843,1.328,2.187,4.627,3.213,3.844,3.908,3.152,4.397,2.615,3.584,4.764,2.818,5.8,2.135,2.885,1.636,1.677,3.438,4.152,3.79,3.364,3.796,2.464,3.466,4.365,2.038,3.154,6.508,4.108,4.311
520.3761,1.287,1.182,1.113,0.579,2.147,1.348,1.02,1.02,0.847,0.783,0.846,1.444,0.942,1.041,0.663,0.721,0.994,0.382,1.11,0.583,0.845,1.591,0.768,0.467,1.533,0.773,1.012,0.468,1.011,0.955,0.498,2.021,0.637,0.489,1.098,0.613,2.645,0.639,2.083,0.73,1.201,0.322,1.919,0.819,0.644,1.057,0.461,0.579,1.539,0.672,2.144,1.211,0.426,0.676,0.733,0.506,0.299,0.487,0.642,0.238,0.047,0.198,0.133,0.373,0.114,0.099,0.24,0.529,0.224,0.211,0.118,0.129,0.064,0.082,0.106,0.198,0.37,0.431,1.095,0.539,1.121,0.256,0.404,0.37,0.49,0.989,0.557,0.246,0.412,0.401,0.053,0.234,0.075,0.225,0.63,0.387,0.489,0.233,0.747,1.609,0.217,0.169,0.424
412.029,1.142,0.527,0.498,0.216,1.023,0.97,0.795,0.487,0.817,0.481,0.498,0.712,0.624,0.411,0.379,0.767,0.839,0.396,0.429,0.748,1.762,0.763,0.906,1.149,1.977,2.923,0.682,0.975,1.982,0.916,0.707,1.181,0.62,0.683,1.205,1.374,2.508,0.556,1.025,0.596,1.141,0.427,2.374,0.99,0.969,1.111,0.872,0.707,1.106,1.841,2.048,1.221,0.303,0.883,2.213,1.199,0.837,0.999,0.622,1.495,0.259,0.669,0.982,1.144,0.95,0.775,3.958,0.904,1.24,1.858,0.51,1.052,0.841,0.853,0.663,1.095,0.636,1.341,0.941,1.02,0.842,0.636,1.042,1.223,0.4,1.399,0.165,0.447,0.585,0.393,1.277,1.26,3.647,0.75,0.222,0.7,1.059,1.184,0.425,0.663,0.82,1.323,0.638
287.6113,1.327,3.23,1.386,0.752,1.026,2.849,2.727,4.788,1.017,4.16,1.59,1.159,2.361,1.367,1.772,0.766,2.765,2.513,1.174,0.457,1.699,2.197,5.874,1.559,1.232,5.599,0.334,1.831,1.368,0.553,4.404,1.088,1.054,5.548,7.839,1.994,3.292,4.148,3.031,1.451,1.026,2.924,0.139,3.268,1.229,3.425,0.526,27.843,1.241,5.922,2.6,0.598,0.748,3.447,1.117,2.347,2.096,4.846,6.486,0.345,4.12,1.379,2.021,3.807,6.9,1.122,1.032,0.945,2.192,4.52,1.792,1.442,0.945,2.007,1.322,1.579,3.604,5.18,1.081,3.422,1.162,0.201,2.785,2.668,2.039,1.375,0.673,0.41,6.002,1.471,6.354,2.225,3.406,2.133,6.428,5.951,6.821,0.245,0.06,3.05,3.22,1.525,1.282
517.3876,0.125,2.503,0.656,0.711,1.319,1.839,0.122,1.232,0.162,0.056,2.776,0.198,0,0.736,3.79,0.145,0.691,3.626,1.34,0.952,0.432,9.216,3.733,0.003,0.085,4.284,3.378,0.35,0.105,2.668,1.261,0.789,0.329,1.297,1.472,1.421,0.031,5.751,1.789,0.811,0.246,5.399,3.257,0.177,0.513,4.665,0.255,1.008,0,0,0,0.576,9.726,2.386,0,2.154,2.326,3.971,5.259,9.523,1.684,2.674,4.383,4.589,3.672,3.81,0.003,3.201,0.292,0,6.144,0.425,0.163,1.17,0.002,11.061,3.164,0.043,0.3,2.751,0.147,2.22,4.946,0.053,0.068,11.425,3.473,0.025,2.182,1.411,2.753,0.244,0,1.447,0.157,1.054,2.487,0.228,3.819,0,0.062,0.179,0
277.0672,41.778,31.362,0,10.851,0,25.473,14.42,20.407,0,0,22.572,17.293,21.044,18.09,10.655,57.318,16.928,0,15.233,11.461,33.478,20.681,10.245,6.771,13.232,6.148,14.311,11.13,193.528,16.235,48.205,6.98,15.104,17.062,12.684,7.988,0,7.727,34.274,10.307,21.322,9.751,29.614,0,14.215,8.463,60.472,0,24.582,0,114.218,14.065,37.698,11.554,0,21.428,15.719,9.854,6.196,19.398,10.625,11.006,11.379,23.867,10.881,3.71,0,6.39,11.111,50.586,9.433,9.373,11.328,0,21.087,0,21.958,7.37,12.28,3.813,10.258,3.147,4.624,10.401,42.826,19.744,5.386,6.251,4.525,12.489,7.448,26.251,8.29,6.094,22.46,12.759,28.62,0,0,18.265,9,18.949,0
535.3988,0.813,13.818,1.626,4.576,3.672,11.903,3.379,3.146,2.563,2.224,10.496,3.637,0.221,2.549,14.407,1.402,3.637,11.769,8.143,2.967,4.158,13.583,9.008,2.186,1.018,10.623,12.02,3.025,1.74,11.08,7.79,4.629,5.808,5.871,6.247,5.159,1.827,14.47,2.471,1.943,1.802,16.924,14.32,2.517,3.128,8.016,0.378,4.439,0,1.215,0,4.201,24.433,5.251,0.358,9.765,6.056,11.09,14.237,22.864,2.887,11.881,8.864,12.797,7.786,5.749,0.662,4.125,2.759,0.059,14.844,2.155,1.515,2.777,0.57,18.336,6.513,6.542,0.994,7.14,0.584,6.849,15.336,0.428,3.948,29.291,10.351,1.287,7.112,6.676,12.291,3.167,0.786,13.771,2.055,3.559,7.447,1.903,18.653,1.012,2.1,4.327,0.109
597.3026,0,0,3.016,1.115,1.641,1.177,0.896,1.463,1.095,1.479,1.421,1.412,0,1.936,1.87,1.086,1.12,1.996,0.922,1.01,0.604,5.229,0.821,1.091,0,1.493,0.556,0.518,0,0.52,0.761,1.372,0.976,1.311,1.173,0,0,0.762,0.902,1.067,1.073,1.298,0,1.437,0,1.23,0,1.359,0,0,0,0.948,1.29,2.664,2.003,1.574,1.14,1.477,1.829,1.53,1.104,0.492,4.955,1.446,0,1.174,1.831,0.858,0,0.564,1.912,0,0.651,0.752,0.816,0,0,1.763,0.996,3.119,0,3.958,1.741,0.747,3.783,0,2.509,0.41,1.001,0.63,0.798,1.321,0,0.984,0,1.557,0,0,0,0,0,0,0.86
245.139,308.455,472.872,262.367,361.952,213.48,461.17,399.961,249.249,260.705,316.876,441.768,335.856,257.566,492.351,489.648,440.93,386.664,361.918,421.341,389.201,186.747,221.279,176.114,338.13,208.041,314.595,351.596,304.015,368.014,319.503,410.393,211.391,400.554,139.92,427.861,293.659,347.049,345.888,266.783,271.769,191.917,307.326,252.553,166.489,181.408,305.202,180.571,154.975,386.625,202.635,180.552,169.439,298.713,289.66,162.028,214.888,312.037,232.063,279.361,349.181,386.942,214.533,379.783,147.947,278.147,199.341,342.553,387.198,424.256,212.005,428.674,170.799,439.043,179.23,451.93,236.183,366.335,163.94,376.508,114.502,275.398,360.426,173.91,237.774,266.462,166.231,269.273,212.503,259.624,375.561,131.706,357.553,326.769,307.51,234.154,164.977,152.001,199.829,388.226,166.681,296.786,325.851,316.47
548.4072,1.067,0.798,1.406,0.621,1.57,0.843,0.789,1.263,0.77,1.024,0.88,0.691,0.861,1.77,0.336,0.498,0.646,0.122,0.717,0.65,0.815,2.506,1.383,0.291,1.042,0.337,2.024,0.416,1.464,0.741,0.887,1.373,0.48,0.366,0.764,0.616,3.864,1.048,1.621,0.569,1.121,0.35,1.311,1.109,0.947,0.631,0.388,0.992,1.115,0.607,2.449,1.482,0.414,0.745,0.55,0.15,0.243,0.211,0.37,0.191,0.039,0.08,0.417,0.354,0.09,0.052,0.279,0.499,0,0,0.024,0.052,0.203,0.202,0.149,0.05,0.19,0.394,0.911,0.091,0.641,0.304,0,0.099,0.332,1.332,0.446,0.052,0.236,0.404,0.102,0,0,0.252,1.011,0.117,1.013,0.359,0.419,0.273,0.396,0.278,0.457
539.1373,1.83,1.182,0.792,0.7,0.792,0.828,0.884,0.457,1.121,0.992,0.714,2.132,0.635,0.548,1.426,0.483,0.692,0.62,0.835,0.584,0.436,0.432,0.478,0.779,0.458,0.697,0.502,2.32,0.425,0.962,0.302,0.815,0.331,0.813,1.342,0.688,0.822,0.583,1.146,0.171,0.496,0.382,1.406,0.356,0.474,1.276,0.517,3.306,0.532,1.271,2.884,0.532,0.293,0.414,1.975,0.72,0.633,1.381,0.369,1.541,0.426,0.822,0.443,0.52,0.34,1.949,0.712,0.303,0.511,0.325,0.998,0.447,0.662,0.872,0.206,0.653,1.095,0.25,0.467,0.6,1.062,0.426,0.389,0.332,0.711,0.252,0.789,0.796,0.342,0.391,0.235,0.953,1.677,0.353,3.532,0.452,0.517,0.274,0.438,0.169,2.063,0.14,0.37
331.1291,182.896,263.502,135.666,194.96,119.721,251.433,198.784,128.337,153.696,186.332,239.108,178.132,146.693,287.344,259.143,253.593,219.762,190.302,240.003,255.578,118.091,138.245,112.518,213.268,130.312,184.019,234.255,210.612,238.488,209.98,281.695,134.614,261.317,89.164,267.362,174.84,201.435,219.548,189.436,160.498,117.964,199.17,148.094,98.621,114.622,203.295,118.41,112.356,249.137,132.419,118.094,105.36,201.956,165.63,95.109,142.028,189.896,152.663,173.381,226.561,268.516,147.924,223.366,102.197,174.217,147.551,172.937,260.54,279.477,148.09,274.468,103.102,314.195,125.355,281.165,142.599,232.449,94.418,236.756,71.493,171.735,209.657,114.131,137.128,152.58,103.19,155.826,116.086,157.86,219.275,86.087,214.555,176.347,187.638,146.005,123.143,100.494,116.643,247.006,97.526,183.099,212.494,183.28
369.0985,0,13.389,11.967,12.313,0,0,8.777,0,0,20.458,8.272,20.398,0,0,0,0,20.708,24.834,13.149,6.045,3.796,2.182,0,7.954,3.728,6.455,14.393,6.58,0,4.47,4.029,0,9.44,4.479,5.517,2.274,3.859,6.368,5.799,1.289,2.129,0.799,0,3.277,1.785,0,3.274,42.255,7.951,5.878,4.961,7.235,9.173,1.455,21.021,9.066,8.076,20.407,18.189,9.215,7.536,9.11,3.769,0,1.975,14.368,1.825,6.35,10.094,4.519,4.589,3.862,5.431,1.555,2.897,2.324,10.952,2.009,7.333,2.889,7.503,4.455,9.75,0.592,4.363,5.241,6.929,5.829,9.087,5.381,0.464,1.232,2.013,6.92,10.6,6.679,0,1.802,2.354,2.045,4.641,0,4.271
286.2113,0.676,0.535,0,0.419,0,0.587,0.457,4.162,0,0.599,0,0.429,0.331,1.808,0.377,0.484,0.806,0.361,0,0.315,0.323,0.281,0.69,0.331,0.344,0.634,0.409,0.285,0.373,0.161,0.415,0.306,0.239,1.427,0.235,0.266,0.295,0.585,0.333,0.633,0.597,4.058,0.49,0.3,0.828,0.185,0.306,0.258,0.945,3.1,0.508,0.282,0.512,0.596,3.076,0.349,0.672,0.524,0.994,0.936,0.795,0.503,1.623,0.483,1.391,0.215,0.516,0,0,0.167,0,0.342,0.237,0.209,0.413,0.43,0.375,0.282,0.206,0.38,0.214,0.661,0.332,0.24,0.108,0.636,0.073,0.13,0.097,0.399,0.283,0.566,1.735,0.321,0.45,0.342,0.244,0.121,0.052,0.089,0.273,0,0.209
333.1252,66.859,92.706,50.063,67.001,43.363,87.085,70.603,48.031,54.553,66.581,83.502,61.493,51.499,100.659,89.578,89.239,76.57,66.967,84.546,85.432,39.704,46.054,37.796,73.211,45.565,60.679,76.766,71.706,81.256,71.359,94.334,45.714,86.072,29.327,92.744,59.519,67.623,73.596,63.099,54.739,39.84,66.812,50.82,34.348,36.75,68.557,39.533,36.832,84.455,43.94,40.457,36.833,66.981,56.656,31.966,47.684,63.977,50.609,57.546,75.354,90.291,49.996,73.972,31.023,58.431,48.013,57.721,84.501,91.28,49.149,93.373,34.102,101.771,42.065,93.232,44.778,77.413,32.382,76.974,23.49,56.822,67.694,36.812,44.904,50.622,34.377,50.949,37.472,50.877,71.448,28.051,70.109,55.159,59.174,43.511,41.422,33.164,38.006,81.229,31.379,58.864,69.868,57.909
327.142,33.817,51.626,27.41,31.968,22.378,41.598,32.624,26.904,26.648,23.789,35.225,29.825,27.352,56.771,44.891,41.519,42.073,33.677,37.355,45.689,18.485,25.823,17.969,28.553,21.07,32.165,35.536,34.185,38.602,32.23,46.855,20.129,36.773,15.8,43.419,28.031,33.963,34.802,28.763,27.307,18.888,36.436,17.928,13.848,18.677,26.733,18.24,21.038,34.191,14.116,16.542,15.137,34.908,31.634,13.55,18.778,34.362,24.565,25.828,32.995,34.38,20.153,35.735,16.262,23.384,18.52,22.588,34.88,37.388,19.024,47.365,13.157,39.34,19.049,38.672,22.534,33.772,15.835,35.042,12.388,24.526,22.623,15.368,20.679,23.699,14.467,23.683,15.819,23.654,31.543,14.253,29.906,22.396,24.193,19.796,18.141,14.951,15.374,35.639,14.755,20.974,24.862,27.868
471.2953,8.37,12.71,6.045,10.693,6.041,9.139,4.8,2.98,6.729,12.954,12.387,10.036,3.807,12.232,14.836,13.921,7.573,6.554,11.966,7.372,2.612,3.675,4.433,6.039,5.606,7.837,11.994,8.007,5.445,9.567,9.537,4.577,7.616,3.258,15.358,6.528,8.659,9.574,10.504,4.761,4.526,8.621,4.8,4.233,2.825,9.483,3.259,10.223,11.09,5.994,3.228,3.234,6.901,6.428,3.25,3.921,2.767,4.736,8.574,10.072,6.947,6.251,10.432,2.689,4.065,3.474,2.766,5.694,5.07,3.464,7.207,2.674,8.862,2.927,6.551,1.84,5.267,1.478,3.2,3.21,7.27,4.25,6.433,3.917,3.381,4.857,6.698,2.755,5.281,7.954,3.322,5.314,3.631,3.73,3.23,4.559,5.603,2.899,6.479,1.443,8.648,5.336,5.723
359.1647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.526,0,0,0,0,0,0,0,0,0,0,0,13.874,0,0,0,0,0,11.46,21.389,13.2,0,0,10.859,0,0,0,10.278,0,0,31.403,0,0,0,0,0,0,0,9.894,0,0,0,0,0,10.022,11.735,11.491,6.614,9.596,0,23.023,0,7.119,9.066,9.374,0,11.997,0,9.607,0,14.207,38.304,12.412,0,6.638,0,6.217,6.649,0,5.868,5.935,0,8.269,0,5.281,10.338,0,7.078,0,0,67.086,4.738,0,0,8.635,0,6.321,7.063,6.908
303.0981,133.063,181.838,103.175,135.774,87.683,185.939,152.48,99.26,105.528,125.366,169.928,125.813,109.392,199.145,184.477,182.492,145.806,140.565,165.372,178.002,84.385,96.191,76.431,150.622,98.2,128.466,154.034,145.33,171.346,140.496,192.618,94.899,172.047,62.318,177.606,123.023,141.723,149.189,118.67,112.874,86.478,134.289,109.637,75.401,80.797,135.536,88.479,73.029,177.58,96.801,83.054,77.314,130.301,120.959,65.951,97.022,131.589,108.591,117.075,150.611,172.495,94.745,159.15,67.71,120.345,91.938,124.083,169.584,185.324,98.367,185.78,71.569,200.722,85.329,183.192,97.658,154.911,71.315,165.298,45.699,120.2,146.097,75.214,102.115,116.008,72.506,108.993,84.726,104.938,157.17,61.87,159.247,135.179,140.902,100.091,81.861,72.57,85.987,167.093,74.699,128.125,147.085,134.636
562.315,1.458,0.994,1.098,0.907,2.093,1.198,1.275,1.016,1.13,0.307,0.554,1.368,0.831,0.656,0.761,1.224,1.283,0.884,1.298,0.512,0.797,0.504,0.407,0.717,1.458,0.918,0.514,0.698,0.476,0.975,0.524,1.459,0.757,0.472,0.905,1.126,1.147,0.325,1.976,1.024,2.191,1.415,2.199,0.899,0.629,2.084,1.986,1.607,0.72,1.265,2.03,1.251,1.256,0.969,1.56,1.274,0.871,1.381,1.363,1.089,0.706,1.483,2.031,1.982,0.727,2.693,2.589,1.947,1.485,2.318,1.41,2.55,0.565,2.015,1.403,2.684,1.71,0.524,1.139,1.645,1.355,0.735,1.228,1.117,0.87,0.528,0.641,2.142,0.505,0.695,1.929,0.647,0.739,0.479,0.114,1.257,0.099,0.694,0.61,2.891,0.677,0.729,0.851
257.0756,32.942,12.709,14.601,8.388,10.88,7.341,6.7,5.348,12.558,7.629,8.665,17.529,5.228,10.958,8.287,6.701,11.063,14.132,8.352,13.343,5.664,6.387,4.253,5.909,6.566,3.894,7.81,4.339,7.19,8.358,4.367,5.068,5.422,5.514,4.165,4.593,4.262,4.89,6.753,5.09,4.993,2.764,0,0,4.306,6.114,3.27,7.853,4.051,6.17,7.891,7.138,6.065,0,8.246,6.281,6.688,5.114,32.162,10.582,4.675,4.557,84.482,0,0,5.499,0,3.945,7.175,0,4.798,6.783,4.781,4.689,0,0,0,2.844,2.908,6.459,4.604,2.207,4.944,2.562,12.074,5.774,4.719,2.71,3.629,3.479,3.222,4.724,2.938,3.142,6.713,3.6,0,28.428,5.837,4.162,0,0,4.165
261.0408,58.593,64.797,71.171,44.26,70.857,63.412,51.76,45.679,46.777,44.658,44.447,87.731,40.543,54.72,46.744,48.92,51.257,34.572,42.589,61.237,57.082,34.109,55.332,56.159,67.539,33.45,35.96,51.612,63.347,40.167,35.74,72.772,37.302,41.412,42.91,65.734,74.404,37.073,53.784,42.836,55.963,37.886,77.861,49.415,51.932,63.989,35.092,42.574,65.795,72.279,82.204,50.193,36.963,45.005,60.24,50.174,93.912,41.026,35.83,51.667,0,0,0,0,0,46.285,51.536,0,0,0,0,0,0,0,0,77.106,0,59.727,52.408,42.819,54.383,29.622,43.859,45.324,39.188,44.801,28.526,27.162,39.539,27.045,29.642,42.568,66.683,36.779,60.539,31.095,0,47.356,36.045,54.363,41.076,43.599,52.921
595.377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.058,0,0.047,0,0,0,0.04,0,0.036,0,0.043,0,0,0,0,0.016,0,0,0.03,0,0.012,0,0.06,0,0,0,0,0,0,0.021,0,0,0,0,0,0,0,0,0,0.094,0.036,0.042,0.001,0,0.018,0.039,0.112,0,0.013,0.025,0.024,0.03,0.051,0.001,0.006,0,0,0.001,0,0.015,0,0,0.107,0.013,0.017,0,0,0.082,0,0.009,0.01,0.049,0.023,0,0.016,0.009,0.093,0.039,0,0.001,0.071,0.022,0.006,0.033
595.2875,1.256,1.372,3.154,2.148,1.159,1.825,0.842,1.498,1.058,1.837,1.593,1.437,0.693,2.832,2.308,1.232,0.741,3.062,0.933,1.478,1.002,2.608,0.855,1.779,0.633,1.361,0.701,0.543,0.406,0.407,1.107,1.035,0.816,2.363,0.922,0.437,0.369,0.723,0.686,0.852,0.931,1.61,0.719,3.72,0.93,1.186,0.114,1.685,0.97,0.895,0.354,2.425,3.443,4.182,1.465,2.572,2.868,3.441,3.507,5.684,3.753,2.504,4.25,2.827,2.182,2.149,2.405,1.832,1.202,1.607,6.005,1.071,1.489,2.283,1.51,3.671,1.217,2.224,1.207,7.896,0.788,5.098,3.561,2.801,4.564,0.708,3.895,1.074,2.253,1.533,1.447,4.516,0.363,2.044,0.631,2.083,0.952,2.241,0.574,0.29,0.444,0.341,0.847
141.091,3.888,6.95,3.998,5.491,2.328,6.026,4.709,2.703,2.485,5.121,5.732,4.442,3.553,6.772,6.474,7.127,5.295,3.927,5.228,3.744,1.779,2.107,1.857,3.67,2.855,3.205,5.149,4.78,4.794,4.934,4.122,3.429,4.529,1.134,5.329,4.745,4.527,4.457,3.519,2.839,2.435,3.744,4.014,2.337,1.73,3.92,2.468,1.389,4.721,2.164,1.62,2.255,3.594,3.332,1.756,2.364,2.932,2.07,3.812,4.368,3.471,2.248,4.335,1.02,2.876,1.786,2.953,3.129,4.031,2.078,6.379,1.209,4.335,2.092,3.729,1.954,3.558,1.231,3.236,0.534,2.998,3.364,1.245,1.388,2.749,0.991,3.079,1.503,2.284,3.953,1.126,3.522,2.499,2.337,1.11,1.149,1.07,1.487,3.581,0.759,3.075,2.612,2.171
445.3302,0,0.906,0,1.251,0,1.31,0,1.457,0,0,2.68,0,0,0.773,5.612,0,0.488,3.555,1.274,0.2,0.16,10.161,3.489,0,0,6.009,3.305,0.674,0,1.834,1.042,0.239,0,2.9,1.388,2.562,0,7.614,0.829,2.263,0.289,3.498,4.134,0.354,0.452,7.251,0,1.268,0,0,0,0.197,10.915,2.933,0,0.706,4.407,3.571,3.933,8.151,1.051,2.307,3.919,5.11,5.385,6.667,0.041,2.899,0.21,0,6.948,0.789,0.099,2.252,0.009,9.691,3.188,0.138,0,2.816,0,1.522,3.402,0.745,0.084,8.74,3.415,0,2.778,1.162,1.948,0,0,1.543,0.172,0.58,3.136,0.26,3.187,0,0,0.386,0
185.0792,5.217,6.088,5.723,4.961,3.857,6.946,5.439,3.501,3.304,5.556,5.82,5.119,4.134,7.08,5.759,6.743,6.075,4.072,5.015,3.82,2.673,2.934,2.889,4.468,4.977,3.433,4.432,4.855,5.137,5.145,4.258,3.576,3.913,1.966,5.435,4.938,5.31,4.429,4.124,3.582,3.048,3.949,5.05,3.062,2.934,4.209,2.731,0,4.71,2.934,2.565,2.94,3.272,4.019,2.777,2.683,3.598,2.396,3.888,4.553,3.263,3.051,4.477,1.58,2.998,2.086,3.248,3.267,3.863,2.922,7.065,1.978,4.298,2.721,15.155,2.867,3.524,0,3.756,0,3.682,3.513,2.739,2.201,4.48,0,3.457,4.627,2.544,4.078,0,4.593,3.585,2.953,0,0,0,0,4.01,0,3.815,0,0
